group,element,render_id,question,value
overview,studyregion,studymap,Other details,NA
overview,location,studylocation,What is the location of the study?,The study was conducted at global scale covering all continents except Antarctica.
overview,studytimeline,studytime,What is the temporal range of the study?,2015;2030
overview,studytimeline,otherstudytime,Other details,"Data used for the planning considered the year 2015 as baseline, yet the inferences were made to inform Global conservation policies up to 2030."
overview,realm,studyrealm,What is the biophysical realm in which the planning work was conducted?,Terrestrial (above ground);Terrestrial (below ground)
overview,output_availability,inputavailability,Are the used input data made available and if so where?,No
overview,output_availability,inputdata,Other details,
overview,input_availability,outputavailability,Are the created outputs made openly available and if so where?,Yes
overview,input_availability,outputdata,Other details,https://zenodo.org/records/5006332
overview,code_availability,codeavailability,Have analytical scripts or steps to reproduce the results been made available?,Yes
overview,code_availability,outputcode,Other details,https://github.com/Martin-Jung/NatureMapCode/
design,aim,studyaim,What is the aim of the study?,"Identify those areas globally that jointly minimizes the number of threatened species, maximizes carbon retention and water quality regulation, and ranks terrestrial conservation priorities globally. "
design,framework,studyframework,Does the planning work follow a specific analytical framework?,Defined within study
design,framework,frameworkreference,Other details,
design,toc,theoryofchange,Is there a theory of change underlying this work?,No
design,toc,theoryofchange_text,Other details,
design,purpose,studypurpose,What is the primary purpose of the study?,Area-based allocation
design,multobj,checkmultobj,Had the planning multiple objectives?,Yes
design,multobj,multobj,Other details,"Joint priorities of biodiversity, carbon and water, assessed through varying combinations of weights."
design,scenarios,checkscenarios,Are there multiple variants or scenarios explored in the planning?,Yes
design,scenarios,planningscenarios,Other details,Variants included those that considered current protected areas as input or not. Or those that used specific weights as configuration.
design,stakeholders,checkstakeholders,Were stakeholders involved in the design of the study?,No
design,stakeholders,stakeholderint,Other details,NA
design,stakeholder_type,stakeholdertype,What type of stakeholders were engaged?,NA
design,stakeholder_method,stakeholdermethod,How were stakeholders engaged?,
specification,planningunits,pu_type,How are planning units defined?,Gridded
specification,planningunits,othertypes,Other details,
specification,grainspace,pu_grain,What was the spatial grain of planning?,10
specification,grainspace,pu_grainother,Other details,World Mollweide projection in equal area.
specification,grainspace_unit,pu_grainunit,Select or enter unit used for the spatial grain.,km2
specification,pucosts,pu_checkcosts,Where there any costs of selecting a planning unit? Select one or multiple.,Area only
specification,pucosts,pu_costs,Other details,Fractional terrestrial areas (excluding water) were included in each planning unit.
specification,ecosystem_specificity,zone_ecosystems,Was there any ecosystem specificity?,NA
specification,ecosystem_specificity,specificecosystem,Other details,
specification,zonedefinitions,zones,Where any zones used for the planning?,NA
specification,zonedefinitions,specificzones,Other details,NA
specification,inclusionexclusion,inclusionexclusion,Any areas or actions that were included or excluded by default?,None;Areas or Action included
specification,inclusionexclusion,defaultareas,Other details,Current protected areas were included by default in some runs.
specification,threattypes,threattypes,What types of threats are included in the planning?,Residential & commercial development;Agriculture & Aquaculture
specification,threattypes,otherthreattype,Other details,
specification,threatinclusion,threatinclusion,How were threats considered in the planning?,Feature (individual)
specification,threatinclusion,threatdetail,Other details,Features were refined to a Area of habitat so as to exclude threats to species within their distribution.
specification,featuretypes,featuretypes,What types of features are included in the spatial planning?,Species (distributions);Nature contributions to people (supply)
specification,featuretypes,otherfeaturetype,Other details,
specification,featuresaggregated,checkaggregated,Were any features aggregated before use in the planning?,TRUE
specification,featuresaggregated,featureaggregated,Other details,"Individual carbon data of AGBC, BGBC and SOC were aggregated (sum) to a total carbon estimate for the planning."
specification,featurelist,featurelist,List the features,Species distribution (Vertebrates and Plants);Species (distributions);227837
specification,featurelist,featurelist,List the features,Carbon storage;Nature contributions to people (supply);     1
specification,featurelist,featurelist,List the features,Clean Water;Nature contributions to people (supply);     1
specification,featureorigin,featureorigin,How were features created?,"We used the best available global species range data including all extant terrestrial vertebrates and a representative proportion of all accepted species in the World Checklist of Vascular Plants. Extant mammal (5,685 species)  and amphibian (6,660) species range data were obtained from the IUCN Red List  database (v.2019-2), while bird (10,953) range maps were obtained from Birdlife International. Data on the reptile ranges were obtained from the IUCN database when available (6,830 species) and otherwise from the Global Assessment of Reptile Distributions (GARD) database (3,755; ref. 46). We obtained native plant range maps (193,954 species) from a variety of sources, including the IUCN, Botanic Gardens Conservation International (BGCI) and the Botanical Information and Ecology Network (BIEN).  Where data on species habitat and elevational preferences were available, we refined each species’ range to obtain the area of habitat (AOH) in which the species could persist.We used spatial estimates of the density of above-ground and below-ground biomass carbon and vulnerable soil carbon, applied with root-to-shoot ratios, IPCC emission estimates to account for vulnerable soil carbon owing to land-use change. For capturing water regulation and supply, we used estimates of potential clean water provision calculated by WaterWorld and Co$ting Nature model. Water estimates were adjusted for the heterogeneity within hydrobasins."
context,decisionvariable,decisiontype,What are the decision or output variables?,Proportional share
context,timeconditions,timedecision,Which temporal conditions does the planning consider?,Current conditions
context,connectivity,checkconnectivity,Was connectivity somehow considered in the planning?,No
context,connectivity,connectivityplan,Other details,NA
context,connectivitydetail,otherconnectivity,Additional detail to how connectivity was considered?,
context,constraintdetail,otherconstraints,Any other constraints used in the planning?,
context,featuretargets,contexttargets,Were targets used for features?,Minimum Area of Suitable Habitat
context,featuretargets,targetdetail,Other details,"Targets were defined for Biodiversity so as to minimize species extinction risks so that species would qualify for a Least concern extinction risk (see publication). For other targets given to NCPs, we aimed to obtain as much as possible (100%)."
context,featureweights,checkfeatureweights,Where some features weighted differently than others?,Yes
context,featureweights,featureweightsdetails,Other details,"Different weight combinations to carbon and water were explored. Furthermore weights to biodiversity were altered in some variants so to account for species threats, functional and phylogenetic distinctiveness."
prioritization,software,software,Which software or algorithmic approach was used to conduct the planning exercise?,prioritizr
prioritization,software,othersoftware,Other details,
prioritization,versionnr,versionnr,What is the version number of the algorithm approach or other software?,prioritizr version nr. 7.1.0.0 was used in R. Publicly available from https://prioritizr.net/
prioritization,benefits,outcomefunctions,What is being identified and how?,"Areas of importance for the conservation of biodiversity, carbon and water were determined by solving a series of global optimization problems. For each feature included in the analysis, we aimed to minimize the proportional shortfall of their targets until an incremental area budget had been reached. "
prioritization,software_parameters,parameters,Are there key parameters related to the solving of the planning problem?,"The gurobi solver (version 8.0) was used and solutions were optained by solving to optimality (gap = 0). 
"
prioritization,solution_identification,identsolution,How were the final priorities identified?,Other
prioritization,solution_identification,otheridentification,Other details,"Final priority maps were obtained by creating hierarchical nested solutions, which were then ranked. The ranking was done through a simple arithmetric average of the solutions and then normalizing them to a range of 1 to 100 (less is higher). Special care was taken so that solutions were area-consistent."
prioritization,performance,checkperformance,Was the performance of the study in any way evaluated?,Yes
prioritization,performance,evalidentification,Other details,"c(name = ""Mean Target Achievement"", description = ""Representation of features in the solution was assessed by calculating the shortfall to the target. Shortfalls were then averaged across feature combinations."", unit = ""Unitless"")"
prioritization,otherperformance,otherperformance,Was the prioritization somehow differently evaluated?,
