group,element,render_id,question,value
overview,title,studyname,What is the title of the conducted study?,"Areas of global importance for conserving terrestrial biodiversity, carbon and water"
overview,authors,authors_table,List the authors of the study.,Martin;Jung;0000-0002-7569-1390
overview,corresponding,authoremail,Email of corresponding author.,<martin's would be here email>
overview,studylink,studylink,Link to the published study.,"Jung, Martin, et al. ""Areas of global importance for conserving terrestrial biodiversity, carbon and water."" Nature Ecology & Evolution 5.11 (2021): 1499-1509. https://doi.org/10.1038/s41559-021-01528-7"
overview,extent,studyscale,What is the target extent of the planning study?,global
